"","Row.names","Richness_Ham","Total_Individuals_Ham","Shannon_Index_Ham","Evenness_Ham","Simpson_Index_Ham","Richness_Plant","Total_Individuals_Plant","Shannon_Index_Plant","Evenness_Plant","Simpson_Index_Plant"
"1","Amphorophora rubi",4,7,1.15374194270109,0.832248889600231,0.612244897959184,1,93,0,NA,0
"2","Aphis fabae",5,12,1.51710639706103,0.942631203937882,0.763888888888889,3,69,0.841716300137739,0.766163194076579,0.522579290065112
"3","Cavariella pastinacae",1,1,0,NA,0,1,5,0,NA,0
"4","Cavariella theobaldi",3,7,0.955699891112534,0.869915529773626,0.571428571428571,1,25,0,NA,0
"5","Drepanosiphum platanoidis",1,7,0,NA,0,2,69,0.295439191872116,0.426228656998145,0.158790170132325
"6","Hyperomyzus lactucae",4,18,1.11748995942315,0.806098611351497,0.623456790123457,1,40,0,NA,0
"7","Macrosiphoniella artemisiae",1,5,0,NA,0,1,85,0,NA,0
"8","Macrosiphum euphorbiae",1,19,0,NA,0,9,131,1.55016914039752,0.705512379748112,0.711963172309306
"9","Macrosiphum funestum",4,12,1.28605733687438,0.927694271103767,0.708333333333333,1,19,0,NA,0
"10","Macrosiphum gei",2,4,0.562335144618808,0.811278124459133,0.375,1,69,0,NA,0
"11","Macrosiphum hellebori",1,6,0,NA,0,1,56,0,NA,0
"12","Macrosiphum rosae",1,2,0,NA,0,2,150,0.098039113279732,0.141440542541821,0.0392000000000001
"13","Periphyllus lyropictus",4,24,0.881721481547744,0.6360276044371,0.489583333333333,1,45,0,NA,0
"14","Periphyllus testudinaceus",1,1,0,NA,0,2,3,0.636514168294813,0.918295834054489,0.444444444444444
"15","Utamphorophora humboldti",1,2,0,NA,0,1,2,0,NA,0
"16","Wahlgreniella nervata",1,2,0,NA,0,1,7,0,NA,0
