"","Row.names","Richness_Ham","Shannon_Index_Ham","Evenness_Ham","Simpson_Index_Ham","Richness_Plant","Shannon_Index_Plant","Evenness_Plant","Simpson_Index_Plant"
"1","Acyrthosiphon pisum",3.021,0.838427320428688,0.776629692175904,0.470571428571429,1,0,NA,0
"2","Amphorophora rubi",4,1.15374194270109,0.832248889600231,0.612244897959184,1,0,NA,0
"3","Aphis fabae",4.087,1.30966594298348,0.937792172794196,0.70469387755102,2.294,0.696335437047973,0.86739161663054,0.451551020408163
"6","Cavariella pastinacae",1.632,0.259193513158274,0.591672778582327,0.154775510204082,2.888,0.894525222076541,0.868456745153485,0.53734693877551
"7","Cavariella theobaldi",3,0.955699891112534,0.869915529773626,0.571428571428571,1,0,NA,0
"8","Drepanosiphum aceris",2,0.552360190632826,0.796887307810461,0.368326530612245,1,0,NA,0
"9","Drepanosiphum platanoidis",1,0,NA,0,1.483,0.219356634840695,0.655206478821453,0.136816326530612
"10","Hyperomyzus lactucae",3.421,1.06660504020607,0.883303338407986,0.604040816326531,1,0,NA,0
"11","Macrosiphoniella artemisiae",1.96,0.551280588219789,0.828468511211501,0.374367346938776,1,0,NA,0
"12","Macrosiphum albifrons",1,0,NA,0,1,0,NA,0
"13","Macrosiphum euphorbiae",1.892,0.399447309916786,0.693754926454403,0.243428571428571,4.254,1.29080698085246,0.905634895116375,0.675795918367347
"14","Macrosiphum funestum",3.461,1.13712112319077,0.926203486326081,0.649795918367347,1,0,NA,0
"15","Macrosiphum gei",3.206,0.861533745867991,0.743909408524,0.471142857142857,1.497,0.230056010602499,0.667808180327817,0.144571428571429
"16","Macrosiphum hellebori",1.895,0.367054104868126,0.591672778582327,0.219183673469388,1.246,0.100649404334919,0.597315207096032,0.0598367346938776
"17","Macrosiphum rosae",1,0,NA,0,1.282,0.11693146552727,0.614481316935724,0.0696734693877551
"19","Metopolophium dirhodum",2.847,0.903849123717717,0.893947240381304,0.550979591836735,4.178,1.2774636842448,0.903659135461799,0.674571428571429
"20","Periphyllus lyropictus",2.386,0.756948769849885,0.902246403331898,0.49269387755102,1,0,NA,0
"21","Periphyllus testudinaceus",1,0,NA,0,2.584,0.836127727132581,0.906056868961476,0.531632653061225
"23","Sitobion avenae",3.559,1.11947771617141,0.896605749317403,0.628408163265306,4.893,1.48811267218687,0.945254032374739,0.748122448979592
